,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
91,-20,-20,-20,-80,-40,20,20,-11,-80,-80,-80,-80,40,80,-2,24,-8,25,40,80,2,3,-65,-65,40,80,10,3,-72,-72,40,80,-78,24,14,-78
92,-20,-20,20,-20,-20,-20,20,0,20,-80,-80,-80,20,-20,-20,-20,-20,-20,20,80,20,-76,-76,-27,20,80,20,-71,-77,-71,20,80,20,-79,3,-74
93,-20,-20,-20,-20,-20,-20,20,0,-80,-80,-80,-80,20,-20,-20,-20,-20,-20,20,80,17,17,22,22,20,80,19,37,28,34,20,80,23,9,28,10
94,-20,-20,-20,20,20,-20,20,-5,20,20,20,20,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
95,-20,-20,-20,-40,-40,-20,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
96,20,-40,-20,-40,-40,-20,40,0,20,-72,-80,-80,-20,78,20,80,-13,-13,20,80,20,19,12,18,20,80,20,19,-3,-3,20,80,20,-17,-17,-22
97,-40,-40,-20,-40,-40,-40,40,0,20,-80,-80,-80,-20,80,20,63,46,33,40,80,20,18,54,23,40,80,20,25,5,10,40,80,20,29,5,16
98,-20,-20,20,-35,-45,-40,20,0,-80,-80,-80,-80,40,80,-13,-13,17,-2,80,80,9,-10,-10,-10,80,80,14,-3,-2,-2,80,80,-3,-32,-33,-33
99,40,-40,20,20,-40,-20,40,0,20,-80,-80,-80,40,80,20,-4,-2,-5,20,80,20,12,2,12,20,80,20,-19,-19,-13,20,80,20,-44,23,12
100,20,-40,-20,-40,-20,20,40,0,-80,-80,-80,-80,20,-20,-20,-20,-20,-20,80,80,19,-7,-19,-19,80,80,4,-10,-12,-12,80,80,4,-10,22,25
